pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,pl_orbper,st_lum,st_teff,st_spectype,st_rad,discoverymethod,disc_year,pl_trandur,pl_orbeccen,hostname,sy_pnum,curationCategory,_esi_rank_display,_hzd_rank_display
K2-19 d,1.044,6.2,1258.0,0.03478,2.50827,-0.29196,5350.0,G9,0.824,Transit,2016,1.93,0.44,K2-19,3,rest,0.16723907849398167,-5.307043438104001
K2-38 c,2.29,8.3,916.0,0.09514,10.56103,0.03743,5731.0,G2 V,1.06,Transit,2016,2.38,0.161,K2-38,2,rest,0.29562771375250835,-5.104960743206508
K2-295 b,10.054473,106.47305,852.0,0.0451,4.024867,-0.71623,4444.0,K5 V,0.7,Transit,2018,2.4984,0.0,K2-295,1,rest,0.1698567592091323,-5.049058648208193
TOI-5076 b,3.48935569,16.14568308,550.0,0.1481,23.443162,-0.47366,4780.0,K2 V,0.844,Transit,2024,4.882,0.0,TOI-5076,1,rest,0.4158930354397933,-4.3225161194741775
HD 23472 d,0.75,0.55,909.0,0.04298,3.97664,-0.62525,4684.0,K4 V,0.71,Transit,2022,1.99,0.07,HD 23472,5,rest,0.3347828525900595,-5.118486196736108
HD 207897 b,2.34302132,14.8,581.75,0.117,16.20166,-0.42136,5106.0,K0 V,0.7827,Transit,2021,2.9048422,0.0,HD 207897,1,rest,0.46482121137193955,-4.63406448995606
Kepler-1624 b,6.59,35.3,540.0,0.0327,3.290314,-1.32262,3768.0,M V,0.552,Transit,2016,1.7505,0.0,Kepler-1624,1,rest,0.3041553969551959,-4.825093464515069
K2-33 b,5.04,1175.971,850.0,0.0409,5.424865,-0.82391,3540.0,M3.3,1.05,Transit,2016,4.08,0.0,K2-33,1,rest,0.1481233101595418,-5.036049577759401
LTT 3780 b,1.325,2.46,903.0,0.01195,0.76837931,-1.78252,3358.0,M3.5 V,0.38,Transit,2020,0.7883,0.0,LTT 3780,2,rest,0.3424663850218956,-5.095898016050988
TOI-4342 b,2.329,7.3,639.0,0.0519,5.5382592,-1.12494,3866.0,M0 V,0.598,Transit,2023,2.182,0.0,TOI-4342,2,rest,0.4161436623716726,-4.636619995300649
KELT-21 b,17.777474,1242.7153,2051.0,0.05224,3.6127647,0.90472,7598.0,A8 V,1.638,Transit,2018,4.10544,0.0,KELT-21,1,rest,0.05985915740239441,-5.450996333706538
CoRoT-6 b,13.068,940.74,1017.0,0.0855,8.886593,0.02573,6090.0,F9 V,1.025,Transit,2009,4.08,0.1,CoRoT-6,1,rest,0.16024923113416684,-5.143627694054634
HD 22946 d,2.607,26.57,546.0,0.2958,47.42489,0.20919,6169.0,F7/F8V,1.117,Transit,2023,6.482,,HD 22946,3,rest,0.45405730410987627,-4.432036692662815
TOI-1670 b,2.06,41.31769291,1062.0,0.103,10.98462,0.40046,6170.0,F7 V,1.316,Transit,2022,2.8,0.59,TOI-1670,2,rest,0.1814933551441088,-5.229551771735622
HD 17156 b,12.26262489,1036.12060682,888.0,0.1632,21.2164294,0.44091,6046.0,G5,1.517,Radial Velocity,2007,3.1505,0.6772,HD 17156,1,rest,0.19430535730253193,-5.071126900478756
HIP 94235 b,3.0,379.0,1060.0,0.0787,7.713057,0.13759,5991.0,G V,1.08,Transit,2022,2.47,0.32,HIP 94235,1,rest,0.1174706810951799,-5.21900069832896
HD 93963 A b,1.46954368,2.8,1842.23,0.02061,1.0376109,0.06781,5908.0,G0 V,1.0311,Transit,2022,1.8155952,0.0,HD 93963 A,2,rest,0.1492276653778245,-5.448010695539647
HD 110113 b,2.05,4.55,1371.0,0.035,2.541,-0.03235,5732.0,G,0.968,Transit,2021,2.376,0.093,HD 110113,2,rest,0.18768798695170952,-5.36581996825722
WASP-162 b,11.209,1652.716,910.0,0.0871,9.62468,0.05436,5300.0,K0,1.11,Transit,2018,4.2576,0.434,WASP-162,1,rest,0.19571790689197407,-5.149284893849851
